gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
7006,0.413501,0.25778237,0.15571862,1.1393083912687264e-06,5.765761021166198e-06,TEC,tec protein tyrosine kinase,protein-coding
7007,0.3612822,0.29692775,0.06435445,0.019841264632820405,0.03701620919997124,TECTA,tectorin alpha,protein-coding
7008,0.029020503,0.13517523,-0.106154725,0.0021506859885412812,0.005142291867094049,TEF,"TEF transcription factor, PAR bZIP family member",protein-coding
7009,0.35783747,0.07388019,0.28395727,5.895855891249473e-12,8.715121274259412e-11,TMBIM6,transmembrane BAX inhibitor motif containing 6,protein-coding
701,-0.5159757,-0.5041724,-0.011803329,0.2972721188565458,0.38115139690727995,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,protein-coding
7010,0.8239249,0.7230867,0.100838184,0.0024337581895765197,0.005755490305217597,TEK,TEK receptor tyrosine kinase,protein-coding
7011,0.3170643,0.38129035,-0.06422606,0.7238875175150004,0.7850871220132775,TEP1,telomerase associated protein 1,protein-coding
7013,0.91823596,0.69633067,0.22190529,5.567308959351408e-07,3.0248472829829953e-06,TERF1,telomeric repeat binding factor 1,protein-coding
7014,0.28360406,0.068003155,0.21560091,3.312840329049702e-08,2.313920429264857e-07,TERF2,telomeric repeat binding factor 2,protein-coding
7015,-0.17441069,0.11267378,-0.28708446,1.569521164078275e-05,6.207589640922996e-05,TERT,telomerase reverse transcriptase,protein-coding
7016,0.4817762,0.3585232,0.12325302,0.004218337654984249,0.009357297870502492,TESK1,testis associated actin remodelling kinase 1,protein-coding
7018,-0.21667987,0.1140711,-0.33075097,5.304241048884483e-05,0.00018707980731579867,TF,transferrin,protein-coding
7019,-0.5891264,-0.50640666,-0.08271974,0.00847443183163782,0.017454174537547745,TFAM,"transcription factor A, mitochondrial",protein-coding
7020,0.27305338,0.05784022,0.21521315,2.710583134056213e-05,0.00010149905931848845,TFAP2A,transcription factor AP-2 alpha,protein-coding
7021,0.34908974,0.21042179,0.13866796,0.0017139596307497883,0.004210780057370146,TFAP2B,transcription factor AP-2 beta,protein-coding
7022,-0.06748281,-0.030153167,-0.03732964,0.8713521239083957,0.9034873345530939,TFAP2C,transcription factor AP-2 gamma,protein-coding
7023,-0.77406824,-0.5692083,-0.20485991,1.2651420379882786e-05,5.108637747893711e-05,TFAP4,transcription factor AP-4,protein-coding
7024,-0.25857317,-0.49412683,0.23555365,3.522255627012743e-07,1.9964306836695678e-06,TFCP2,transcription factor CP2,protein-coding
7025,0.37064084,0.4541941,-0.083553255,0.00810473596502705,0.01677555154077459,NR2F1,nuclear receptor subfamily 2 group F member 1,protein-coding
7026,-0.049927443,-0.03763779,-0.012289654,0.9575914636443305,0.9689090252632392,NR2F2,nuclear receptor subfamily 2 group F member 2,protein-coding
7027,-1.8840669,-2.1182761,0.23420918,0.4944110104332772,0.5813542112161584,TFDP1,transcription factor Dp-1,protein-coding
