sig_id,cell_iname,donor_sex,pert_idose,pert_itime
AICHI001_BJAB_24H:G13,BJAB,F,10 uM,24 h
AICHI001_OCILY10_4H:G16,OCILY10,F,0.16 uM,4 h
AICHI002_OCILY19_24H:G15,OCILY19,F,0.66 uM,24 h
AICHI002_KMS34_24H:G15,KMS34,F,0.66 uM,24 h
AICHI001_OCILY10_24H:G15,OCILY10,F,0.66 uM,24 h
AICHI001_TMD8_24H:G17,TMD8,M,0.04 uM,24 h
AICHI002_NALM6_24H:G17,NALM6,M,0.04 uM,24 h
AICHI002_NALM6_24H:G14,NALM6,M,2.5 uM,24 h
AICHI002_OCILY3_4H:G17,OCILY3,M,0.04 uM,4 h
AICHI002_NALM6_24H:G18,NALM6,M,0.01 uM,24 h
AICHI002_OCILY3_24H:G17,OCILY3,M,0.04 uM,24 h
AICHI002_SKMEL5_24H:G17,SKMEL5,F,0.04 uM,24 h
AICHI001_SKMEL5_24H:G14,SKMEL5,F,2.5 uM,24 h
AICHI001_THP1_24H:G13,THP1,M,10 uM,24 h
AICHI001_OCILY3_24H:G15,OCILY3,M,0.66 uM,24 h
AICHI002_THP1_4H:G15,THP1,M,0.63 uM,4 h
AICHI001_K562_4H:G13,K562,F,10 uM,4 h
AICHI002_NALM6_24H:G16,NALM6,M,0.125 uM,24 h
AICHI002_SKMEL5_24H:G16,SKMEL5,F,0.125 uM,24 h
AICHI001_BJAB_24H:G15,BJAB,F,0.63 uM,24 h
AICHI002_TMD8_24H:G17,TMD8,M,0.04 uM,24 h
AICHI002_OCILY10_4H:G18,OCILY10,F,0.01 uM,4 h
AICHI001_BJAB_4H:G13,BJAB,F,10 uM,4 h
AICHI001_OCILY3_4H:G16,OCILY3,M,0.125 uM,4 h
AICHI002_THP1_24H:G13,THP1,M,10 uM,24 h
AICHI002_OCILY10_4H:G13,OCILY10,F,10 uM,4 h
AICHI001_TMD8_24H:G14,TMD8,M,2.5 uM,24 h
AICHI002_BJAB_4H:G15,BJAB,F,0.63 uM,4 h
AICHI002_BJAB_24H:G18,BJAB,F,0.01 uM,24 h
AICHI002_TMD8_24H:G15,TMD8,M,0.66 uM,24 h
AICHI002_SKMEL5_24H:G14,SKMEL5,F,2.5 uM,24 h
AICHI001_K562_24H:G16,K562,F,0.125 uM,24 h
AICHI002_OCILY19_4H:G14,OCILY19,F,2.5 uM,4 h
AICHI001_KMS34_24H:G18,KMS34,F,0.01 uM,24 h
AICHI001_THP1_4H:G13,THP1,M,10 uM,4 h
AICHI002_K562_24H:G18,K562,F,0.01 uM,24 h
AICHI002_K562_24H:G14,K562,F,2.5 uM,24 h
AICHI002_THP1_4H:G13,THP1,M,10 uM,4 h
AICHI002_BJAB_4H:G17,BJAB,F,0.04 uM,4 h
AICHI002_K562_24H:G17,K562,F,0.04 uM,24 h
AICHI001_OCILY10_24H:G18,OCILY10,F,0.01 uM,24 h
AICHI001_OCILY10_24H:G14,OCILY10,F,2.5 uM,24 h
AICHI001_KMS34_24H:G15,KMS34,F,0.66 uM,24 h
AICHI002_OCILY19_4H:G17,OCILY19,F,0.04 uM,4 h
AICHI002_K562_4H:G16,K562,F,0.125 uM,4 h
AICHI001_TMD8_24H:G13,TMD8,M,10 uM,24 h
AICHI001_SKMEL5_24H:G13,SKMEL5,F,10 uM,24 h
AICHI002_THP1_24H:G14,THP1,M,2.5 uM,24 h
AICHI001_TMD8_4H:G15,TMD8,M,0.66 uM,4 h
AICHI002_OCILY3_24H:G15,OCILY3,M,0.66 uM,24 h
AICHI001_TMD8_24H:G18,TMD8,M,0.01 uM,24 h
AICHI002_KMS34_24H:G13,KMS34,F,10 uM,24 h
AICHI001_THP1_24H:G16,THP1,M,0.125 uM,24 h
AICHI001_OCILY3_24H:G17,OCILY3,M,0.04 uM,24 h
AICHI002_OCILY19_24H:G18,OCILY19,F,0.01 uM,24 h
AICHI001_BJAB_24H:G17,BJAB,F,0.04 uM,24 h
AICHI001_K562_24H:G18,K562,F,0.01 uM,24 h
AICHI001_BJAB_4H:G15,BJAB,F,0.66 uM,4 h
AICHI002_KMS34_24H:G16,KMS34,F,0.125 uM,24 h
AICHI001_MINO_24H:G17,MINO,M,0.04 uM,24 h
AICHI001_NALM6_24H:G15,NALM6,M,0.66 uM,24 h
AICHI002_THP1_4H:G14,THP1,M,2.5 uM,4 h
AICHI001_THP1_4H:G16,THP1,M,0.125 uM,4 h
AICHI001_K562_4H:G14,K562,F,2.5 uM,4 h
AICHI001_OCILY19_4H:G17,OCILY19,F,0.04 uM,4 h
CRCGN010_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN005_A549_24H:BRD-K81418486:6.66667,A549,M,6.66 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:2.22,HEPG2,M,2.22 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN016_MCF10A.WT.HP_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:6.66667,HEPG2,M,6.66 uM,24 h
CRCGN017_MCF10A.TP53.M_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN006_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:0.74,HEPG2,M,0.74 uM,24 h
CRCGN014_HEPG2_3H:BRD-K81418486:10,HEPG2,M,10 uM,3 h
CRCGN014_HEPG2_3H:BRD-K81418486:20,HEPG2,M,20 uM,3 h
CRCGN017_MCF10A.WT.HP_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN015_MCF10A_48H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,48 h
CRCGN015_MCF10A.TP53.M_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN009_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN007_HEPG2_24H:BRD-K81418486:6.66667,HEPG2,M,6.66 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:21.324,HEPG2,M,20 uM,24 h
CRCGN015_MCF10A_48H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,48 h
CRCGN015_MCF10A.WT.HP_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN010_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN014_HEPG2_24H:BRD-K81418486:2.5,HEPG2,M,2.5 uM,24 h
CRCGN012_HEPG2_24H:BRD-K81418486:0.625423,HEPG2,M,0.66 uM,24 h
CRCGN017_MCF10A.TP53.M_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN014_HEPG2_3H:BRD-K81418486:2.5,HEPG2,M,2.5 uM,3 h
CRCGN007_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
CRCGN012_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN006_A549_24H:BRD-K81418486:0.08,A549,M,0.08 uM,24 h
CRCGN011_HEPG2_24H:BRD-K81418486:0.625423,HEPG2,M,0.66 uM,24 h
CRCGN010_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN016_MCF10A.WT.HP_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN017_MCF10A.WT.HP_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN005_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:0.74,A549,M,0.74 uM,24 h
CRCGN014_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
CRCGN015_HEPG2_48H:BRD-K81418486:10,HEPG2,M,10 uM,48 h
CRCGN005_A549_24H:BRD-K81418486:2.22,A549,M,2.22 uM,24 h
CRCGN012_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN015_MCF10A.TP53.M_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN006_A549_24H:BRD-K81418486:2.22,A549,M,2.22 uM,24 h
CRCGN014_HEPG2_3H:BRD-K81418486:21.324,HEPG2,M,20 uM,3 h
CRCGN009_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN006_A549_24H:BRD-K81418486:0.24,A549,M,0.25 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:2.22,A549,M,2.22 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:5.33101,HEPG2,M,6.66 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
CRCGN011_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN005_A549_24H:BRD-K81418486:0.08,A549,M,0.08 uM,24 h
CRCGN009_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:2.6655,HEPG2,M,2.5 uM,24 h
CRCGN009_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN014_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
CRCGN015_MCF10A.WT.HP_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN015_HEPG2_48H:BRD-K81418486:3.33333,HEPG2,M,3.33 uM,48 h
CRCGN006_HEPG2_24H:BRD-K81418486:6.66667,HEPG2,M,6.66 uM,24 h
CRCGN012_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN015_MCF10A.TP53.M_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:0.24,HEPG2,M,0.25 uM,24 h
CRCGN006_HEPG2_24H:BRD-K81418486:0.74,HEPG2,M,0.74 uM,24 h
CRCGN005_A549_24H:BRD-K81418486:0.74,A549,M,0.74 uM,24 h
CRCGN006_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
CRCGN016_MCF10A.TP53.M_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN017_MCF10A.WT.HP_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN012_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN011_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN016_MCF10A.TP53.M_24H:BRD-K81418486:1.11111,MCF10A,F,1.11 uM,24 h
CRCGN015_MCF10A.WT.HP_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN006_HEPG2_24H:BRD-K81418486:0.08,HEPG2,M,0.08 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:0.24,A549,M,0.25 uM,24 h
CRCGN010_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN015_HEPG2_48H:BRD-K81418486:1.11111,HEPG2,M,1.11 uM,48 h
CRCGN006_A549_24H:BRD-K81418486:0.74,A549,M,0.74 uM,24 h
CRCGN017_MCF10A.TP53.M_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN007_HEPG2_24H:BRD-K81418486:0.74,HEPG2,M,0.74 uM,24 h
CRCGN016_MCF10A.WT.HP_24H:BRD-K81418486:10,MCF10A,F,10 uM,24 h
CRCGN004_MCF7_6H:BRD-K81418486-001-31-9:10,MCF7,F,10 uM,6 h
CRCGN004_PC3_6H:BRD-K81418486-001-31-9:10,PC3,M,10 uM,6 h
CRCGN014_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
CRCGN016_MCF10A.TP53.M_24H:BRD-K81418486:3.33333,MCF10A,F,3.33 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:0.08,HEPG2,M,0.08 uM,24 h
CRCGN015_MCF10A_48H:BRD-K81418486:10,MCF10A,F,10 uM,48 h
CRCGN011_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:0.625423,HEPG2,M,0.66 uM,24 h
CRCGN010_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:1.33275,HEPG2,M,1.25 uM,24 h
CRCGN009_HEPG2_24H:BRD-K81418486:0.625423,HEPG2,M,0.66 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:0.625425,HEPG2,M,0.66 uM,24 h
CRCGN004_PC3_24H:BRD-K81418486-001-31-9:10,PC3,M,10 uM,24 h
CRCGN006_HEPG2_24H:BRD-K81418486:2.22,HEPG2,M,2.22 uM,24 h
CRCGN014_HEPG2_3H:BRD-K81418486:5,HEPG2,M,4 uM,3 h
CRCGN012_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN009_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN014_HEPG2_24H:BRD-K81418486:21.324,HEPG2,M,20 uM,24 h
CRCGN007_HEPG2_24H:BRD-K81418486:0.08,HEPG2,M,0.08 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN007_HEPG2_24H:BRD-K81418486:2.22,HEPG2,M,2.22 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:0.08,A549,M,0.08 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:20.0136,HEPG2,M,20 uM,24 h
CRCGN008_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN010_HEPG2_24H:BRD-K81418486:0.625423,HEPG2,M,0.66 uM,24 h
CRCGN007_HEPG2_24H:BRD-K81418486:0.24,HEPG2,M,0.25 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:10.662,HEPG2,M,10 uM,24 h
CRCGN011_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:10.0068,HEPG2,M,10 uM,24 h
CRCGN011_HEPG2_24H:BRD-K81418486:5.0034,HEPG2,M,4 uM,24 h
CRCGN005_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
CRCGN007_A549_24H:BRD-K81418486:6.66667,A549,M,6.66 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:2.5017,HEPG2,M,2.5 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:1.25085,HEPG2,M,1.25 uM,24 h
CRCGN006_A549_24H:BRD-K81418486:6.66667,A549,M,6.66 uM,24 h
CRCGN013_HEPG2_24H:BRD-K81418486:0.666376,HEPG2,M,0.66 uM,24 h
CRCGN006_HEPG2_24H:BRD-K81418486:0.24,HEPG2,M,0.25 uM,24 h
CRCGN005_A549_24H:BRD-K81418486:0.24,A549,M,0.25 uM,24 h
PBIOA015_HT29_24H:H06,HT29,F,0.04 uM,24 h
PBIOA015_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA019_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA015_MCF7_24H:H02,MCF7,F,3.33 uM,24 h
PBIOA015_HCC515_24H:H06,HCC515,F,0.04 uM,24 h
PBIOA020_A375_24H:O01,A375,F,10 uM,24 h
PBIOA013_A375_24H:O01,A375,F,10 uM,24 h
PBIOA015_HT29_24H:H05,HT29,F,0.125 uM,24 h
PBIOA015_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA015_MCF7_24H:H05,MCF7,F,0.125 uM,24 h
PBIOA013_A549_24H:O01,A549,M,10 uM,24 h
PBIOA018_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA015_PC3_24H:H04,PC3,M,0.37 uM,24 h
PBIOA015_MCF7_24H:H01,MCF7,F,10 uM,24 h
PBIOA018_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA016_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA015_HCC515_24H:H01,HCC515,F,10 uM,24 h
PBIOA015_A549_24H:H01,A549,M,10 uM,24 h
PBIOA015_A375_24H:H06,A375,F,0.04 uM,24 h
PBIOA022_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA015_PC3_24H:H02,PC3,M,3.33 uM,24 h
PBIOA015_A375_24H:H04,A375,F,0.37 uM,24 h
PBIOA022_A375_24H:O01,A375,F,10 uM,24 h
PBIOA015_MCF7_24H:H03,MCF7,F,1.11 uM,24 h
PBIOA015_MCF7_24H:H06,MCF7,F,0.04 uM,24 h
PBIOA015_MCF7_24H:H04,MCF7,F,0.37 uM,24 h
PBIOA014_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA017_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA015_HCC515_24H:H03,HCC515,F,1.11 uM,24 h
PBIOA015_HT29_24H:H03,HT29,F,1.11 uM,24 h
PBIOA020_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_A549_24H:H03,A549,M,1.11 uM,24 h
PBIOA018_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_HEPG2_24H:H02,HEPG2,M,3.33 uM,24 h
PBIOA015_PC3_24H:H01,PC3,M,10 uM,24 h
PBIOA015_A375_24H:H01,A375,F,10 uM,24 h
PBIOA015_HCC515_24H:H02,HCC515,F,3.33 uM,24 h
PBIOA016_A375_24H:O01,A375,F,10 uM,24 h
PBIOA014_A549_24H:O01,A549,M,10 uM,24 h
PBIOA018_A375_24H:O01,A375,F,10 uM,24 h
PBIOA015_A375_24H:O01,A375,F,10 uM,24 h
PBIOA013_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA015_HEPG2_24H:H06,HEPG2,M,0.04 uM,24 h
PBIOA014_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA019_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA019_A375_24H:O01,A375,F,10 uM,24 h
PBIOA022_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA015_A375_24H:H02,A375,F,3.33 uM,24 h
PBIOA019_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA015_HEPG2_24H:H03,HEPG2,M,1.11 uM,24 h
PBIOA016_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA017_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA020_A549_24H:O01,A549,M,10 uM,24 h
PBIOA020_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA017_A375_24H:O01,A375,F,10 uM,24 h
PBIOA015_HT29_24H:H01,HT29,F,10 uM,24 h
PBIOA022_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA016_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA015_A375_24H:H03,A375,F,1.11 uM,24 h
PBIOA015_A549_24H:H05,A549,M,0.125 uM,24 h
PBIOA015_HEPG2_24H:H04,HEPG2,M,0.37 uM,24 h
PBIOA022_A549_24H:O01,A549,M,10 uM,24 h
PBIOA015_HCC515_24H:H05,HCC515,F,0.125 uM,24 h
PBIOA015_PC3_24H:H05,PC3,M,0.125 uM,24 h
PBIOA017_A549_24H:O01,A549,M,10 uM,24 h
PBIOA018_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA014_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA021_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA013_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA016_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA015_PC3_24H:H03,PC3,M,1.11 uM,24 h
PBIOA021_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_A375_24H:H05,A375,F,0.125 uM,24 h
PBIOA020_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA020_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA016_A549_24H:O01,A549,M,10 uM,24 h
PBIOA022_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA018_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA015_A549_24H:H02,A549,M,3.33 uM,24 h
PBIOA014_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_HEPG2_24H:H05,HEPG2,M,0.125 uM,24 h
PBIOA017_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA015_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA022_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_HCC515_24H:H04,HCC515,F,0.37 uM,24 h
PBIOA016_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA015_A549_24H:H04,A549,M,0.37 uM,24 h
PBIOA013_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA014_A375_24H:O01,A375,F,10 uM,24 h
PBIOA021_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA015_A549_24H:H06,A549,M,0.04 uM,24 h
PBIOA015_HT29_24H:H04,HT29,F,0.37 uM,24 h
PBIOA019_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA018_A549_24H:O01,A549,M,10 uM,24 h
PBIOA017_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA021_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA015_HT29_24H:H02,HT29,F,3.33 uM,24 h
PBIOA015_HEPG2_24H:H01,HEPG2,M,10 uM,24 h
PBIOA015_PC3_24H:H06,PC3,M,0.04 uM,24 h
PBIOA021_A375_24H:O01,A375,F,10 uM,24 h
PBIOA017_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
PBIOA013_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA021_A549_24H:O01,A549,M,10 uM,24 h
PBIOA019_PC3_24H:O01,PC3,M,10 uM,24 h
PBIOA021_HT29_24H:O01,HT29,F,10 uM,24 h
PBIOA014_MCF7_24H:O01,MCF7,F,10 uM,24 h
PBIOA020_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA013_HCC515_24H:O01,HCC515,F,10 uM,24 h
PBIOA015_A549_24H:O01,A549,M,10 uM,24 h
PBIOA019_A549_24H:O01,A549,M,10 uM,24 h
PBIOA015_HEPG2_24H:O01,HEPG2,M,10 uM,24 h
DOSVAL002_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL004_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL006_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
DOSVAL003_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
DOSVAL006_A375_24H:BRD-K81418486:20,A375,F,20 uM,24 h
DOSVAL002_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL003_A549_24H:BRD-K81418486:20,A549,M,20 uM,24 h
DOSVAL003_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL004_A375_24H:BRD-K81418486:20,A375,F,20 uM,24 h
DOSVAL004_HCC515_24H:BRD-K81418486:20,HCC515,F,20 uM,24 h
DOSVAL005_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL002_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
DOSVAL002_A549_24H:BRD-K81418486:20,A549,M,20 uM,24 h
DOSVAL002_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL001_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL006_HT29_24H:BRD-K81418486:20,HT29,F,20 uM,24 h
DOSVAL001_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL003_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL005_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL001_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL006_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL002_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
DOSVAL006_MCF7_24H:BRD-K81418486:20,MCF7,F,20 uM,24 h
DOSVAL006_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL006_PC3_24H:BRD-K81418486:20,PC3,M,20 uM,24 h
DOSVAL003_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL005_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL005_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL001_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL003_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL003_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
DOSVAL004_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL005_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL003_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL004_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL002_A375_24H:BRD-K81418486:20,A375,F,20 uM,24 h
DOSVAL004_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL006_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
DOSVAL004_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL003_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
DOSVAL006_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL005_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL003_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL002_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL005_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
DOSVAL004_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL004_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL005_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
DOSVAL002_PC3_24H:BRD-K81418486:20,PC3,M,20 uM,24 h
DOSVAL006_HCC515_24H:BRD-K81418486:20,HCC515,F,20 uM,24 h
DOSVAL004_HEPG2_24H:BRD-K81418486:20,HEPG2,M,20 uM,24 h
DOSVAL005_A375_24H:BRD-K81418486:20,A375,F,20 uM,24 h
DOSVAL001_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
DOSVAL002_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL002_HT29_24H:BRD-K81418486:20,HT29,F,20 uM,24 h
DOSVAL002_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL005_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL003_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
DOSVAL006_A549_24H:BRD-K81418486:20,A549,M,20 uM,24 h
DOSVAL001_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
